##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461180_subsampled_reverse
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1226483
Sequences flagged as poor quality	0
Sequence length	37
%GC	56
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
28	30	0.132113
28	31	-6.25686
28	32	-6.83192
28	33	-8.72864
28	34	-8.8025
28	35	-10.511
28	36	-6.44256
28	37	-6.9469
29	1	1.50149
29	2	0.978179
29	3	-1.67152
29	4	-0.413604
29	5	1.02816
29	6	-3.69206
29	7	-0.67716
29	8	-2.25199
29	9	-0.889013
29	10	-1.36999
29	11	-3.84102
29	12	-3.10694
29	13	-2.49828
29	14	-3.59706
29	15	-12.3085
29	16	-3.47419
29	17	-1.84833
29	18	-2.02727
29	19	-2.88692
29	20	-0.0887811
29	21	-0.0482145
29	22	-0.659399
29	23	1.33432
29	24	2.28506
29	25	3.13488
29	26	3.62804
29	27	1.86342
29	28	2.55263
29	29	1.79422
29	30	2.28656
29	31	1.73957
29	32	1.35721
29	33	0.258896
29	34	3.03516
29	35	1.33804
29	36	2.55027
29	37	-1.43773
30	1	-0.99496
30	2	-2.52759
30	3	-3.06518
30	4	0.44501
30	5	1.19553
30	6	-1.74018
30	7	-6.00235
30	8	-11.5281
30	9	-11.6315
30	10	-11.0235
30	11	-5.39636
30	12	-3.14895
30	13	-3.19984
30	14	-0.774428
30	15	0.673802
30	16	0.432458
30	17	-2.34949
30	18	1.63062
30	19	1.91993
30	20	2.89668
30	21	1.92823
30	22	2.93803
30	23	-0.680728
30	24	2.00927
30	25	3.72288
30	26	1.78372
30	27	4.87096
30	28	3.87325
30	29	4.64768
30	30	3.6227
30	31	5.26026
30	32	2.78452
30	33	4.41691
30	34	4.83277
30	35	4.6748
30	36	4.89905
30	37	4.39899
31	1	-0.551732
31	2	0.329788
31	3	2.03686
31	4	0.816971
31	5	0.613111
31	6	1.768
31	7	1.48042
31	8	2.81442
31	9	3.04988
31	10	3.78114
31	11	2.79337
31	12	2.76899
31	13	3.86893
31	14	3.72683
31	15	4.5423
31	16	4.34918
31	17	4.51547
31	18	2.63255
31	19	3.5508
31	20	5.694
31	21	4.74769
31	22	5.42929
31	23	5.55291
31	24	6.09248
31	25	5.85349
31	26	6.45187
31	27	6.23525
31	28	5.99834
31	29	5.599
31	30	5.14192
31	31	5.73834
31	32	5.8365
31	33	5.1375
31	34	5.88285
31	35	5.32832
31	36	5.27616
